School,Event Name,Date,Day,Time,Location,Type,CMAC Table?,Form Status,Notes
Comsewogue High School,NYSCAME All-County Concert,November 13 2026,Friday,7:00 PM,CHS Auditorium,Concert,No,,All-county event
John F. Kennedy Middle School,JFK Fall Fine Art Showcase,November 24 2026,Monday,TBD,JFK Middle School,Art Show,TBD,,Confirm time
Boyle Road Elementary,Boyle Winter Concert,December 9 2026,Wednesday,6:30 PM,JFK Middle School,Concert,Yes,Open,
John F. Kennedy Middle School,JFK Winter Concert Group 1,December 14 2026,Sunday,7:00 PM,CHS Auditorium,Concert,Yes,Open,
Terryville Road Elementary,Terryville Winter Concert,December 15 2026,Monday,6:30 PM,CHS Auditorium,Concert,Yes,Open,
Comsewogue High School,CHS Winter & Chamber Concert,December 16 2026,Tuesday,7:00 PM,CHS Auditorium,Concert,Yes,Open,
John F. Kennedy Middle School,JFK Winter Concert Group 2,December 17 2026,Wednesday,7:00 PM,CHS Auditorium,Concert,Yes,Open,
Comsewogue High School,CHS Musical: TBA,February 26 2027,Friday,7:00 PM,CHS Auditorium,Musical,Yes,Open,Night 1
Comsewogue High School,CHS Musical: TBA,February 27 2027,Saturday,7:00 PM,CHS Auditorium,Musical,Yes,Open,Night 2
John F. Kennedy Middle School,JFK Drama - Senior Citizen's Dinner & Show,March 3 2027,Tuesday,4:30 PM,JFK Middle School,Drama,No,,Dinner show
Clinton Avenue Elementary,Clinton Talent Show,March 5 2027,Thursday,6:30 PM,Clinton Avenue Elementary,Performing Arts,TBD,,Confirm location
John F. Kennedy Middle School,JFK Drama Production,March 4 2027,Wednesday,6:00 PM,JFK Middle School,Drama,Yes,Open,Night 1
John F. Kennedy Middle School,JFK Drama Production,March 5 2027,Thursday,7:00 PM,JFK Middle School,Drama,Yes,Open,Night 2
John F. Kennedy Middle School,JFK Drama Production,March 6 2027,Friday,7:00 PM,JFK Middle School,Drama,Yes,Open,Night 3
Terryville Road Elementary,Terryville Art Show & Evening Book Fair,March 17 2027,Tuesday,6:00 PM,Terryville Road Elementary,Art Show,TBD,,
Boyle Road Elementary,Boyle Drama Production,March 18 2027,Wednesday,6:30 PM,Boyle Road Elementary,Drama,Yes,Open,Night 1
Boyle Road Elementary,Boyle Drama Production,March 19 2027,Thursday,6:30 PM,Boyle Road Elementary,Drama,Yes,Open,Night 2
Comsewogue High School,CHS Spring Concert,April 6 2027,Sunday,7:00 PM,CHS Auditorium,Concert,Yes,Open,
Norwood Avenue Elementary,Norwood Art Show & Evening Book Fair,April 7 2027,Monday,6:00 PM,Norwood Avenue Elementary,Art Show,TBD,,
Boyle Road Elementary,Boyle PTA Talent Show,April 9 2027,Thursday,7:00 PM,Boyle Road Elementary,Performing Arts,TBD,,Confirm CMAC presence
John F. Kennedy Middle School,JFK Interactive Spring Art Show,April 13 2027,Sunday,5:00 PM,JFK Middle School,Art Show,TBD,,
Comsewogue High School,CHS Performing Arts Show,April 29 2027,Tuesday,6:00 PM,CHS Auditorium,Performing Arts,Yes,Open,Night 1
Norwood Avenue Elementary,Norwood Talent Show,April 30 2027,Wednesday,6:00 PM,Norwood Avenue Elementary,Performing Arts,TBD,,Confirm CMAC presence
Boyle Road Elementary,Boyle Art Show & Book Fair,April 28 2027,Monday,5:30 PM,Boyle Road Elementary,Art Show,TBD,,Part of PTA Basket Auction & Bingo Night
Terryville Road Elementary,Terryville Drama Performance,May 6 2027,Wednesday,7:00 PM,Terryville Road Elementary,Drama,Yes,Open,Night 1
Terryville Road Elementary,Terryville Drama Performance,May 7 2027,Thursday,7:00 PM,Terryville Road Elementary,Drama,Yes,Open,Night 2
Clinton Avenue Elementary,Clinton Art Show,May 13 2027,Wednesday,6:00 PM,Clinton Avenue Elementary,Art Show,TBD,,Confirm CMAC presence
Clinton Avenue Elementary,Clinton Spring Fling,May 14 2027,Thursday,5:00 PM,Clinton Avenue Elementary,Performing Arts,TBD,,Confirm CMAC presence
Comsewogue High School,CHS Art Show,May 18 2027,Monday,All Day,CHS,Art Show,TBD,,Multi-day event - confirm dates
Terryville Road Elementary,Terryville 4th Grade Spring Concert,May 18 2027,Monday,6:00 PM,CHS Auditorium,Concert,Yes,Open,
Terryville Road Elementary,Terryville 5th Grade Spring Concert,May 18 2027,Monday,7:30 PM,CHS Auditorium,Concert,Yes,Open,
Comsewogue High School,CHS Performing Arts Show,May 20 2027,Wednesday,7:00 PM,CHS Auditorium,Performing Arts,Yes,Open,Night 2
Boyle Road Elementary,Boyle Spring Concert,May 19 2027,Tuesday,6:30 PM,JFK Middle School,Concert,Yes,Open,
John F. Kennedy Middle School,JFK Spring Concert Group 1,May 24 2027,Saturday,7:00 PM,CHS Auditorium,Concert,Yes,Open,
John F. Kennedy Middle School,JFK Spring Concert Group 2,May 26 2027,Monday,7:00 PM,CHS Auditorium,Concert,Yes,Open,
Norwood Avenue Elementary,Norwood 2nd Grade Ukulele Concert,June 3 2027,Tuesday,TBD,Norwood Avenue Elementary,Concert,TBD,,Confirm time & location
Norwood Avenue Elementary,Norwood 2nd Grade Ukulele Concert,June 4 2027,Wednesday,TBD,Norwood Avenue Elementary,Concert,TBD,,Confirm time & location
John F. Kennedy Middle School,JFK Ensembles Concert,June 3 2027,Tuesday,6:30 PM,JFK Middle School,Concert,TBD,,Confirm CMAC presence
Comsewogue High School,CHS Pops & Chamber Concert,June 8 2027,Monday,7:00 PM,CHS Auditorium,Concert,Yes,Open,
